# MANA MultiRun Summary File
# Version: 5.01.04
# Machine Name: MAZZAS-PC
# Scenario,F:\SE311-114G\MANA_version5_31st_Jan_2013\Capstone114G_Scenario_Reinforced-20130412.xml
# MultiRun Started,4/12/2013,10:01:35 PM
Run,Seed,Alleg1Cas(Blue),Alleg2Cas(Red),Alleg0Cas(Neutral),Blue Reach Goal,Red Reach Goal,Neutral Reach Goal,Steps, Sqd1Cas, Sqd2Cas, Sqd3Cas, Sqd4Cas, Sqd5Cas, Sqd6Cas, Sqd7Cas, Sqd8Cas, Sqd9Cas, Sqd10Cas, Sqd11Cas, Sqd12Cas, Sqd13Cas, Sqd14Cas, Sqd15Cas, Sqd16Cas, Sqd17Cas, Sqd18Cas, Sqd19Cas, Sqd20Cas, Sqd21Cas, Sqd22Cas, Sqd23Cas, Sqd24Cas, Sqd25Cas, Sqd26Cas, Sqd27Cas, Sqd28Cas, Sqd29Cas, Sqd30Cas, Sqd1Inj, Sqd2Inj, Sqd3Inj, Sqd4Inj, Sqd5Inj, Sqd6Inj, Sqd7Inj, Sqd8Inj, Sqd9Inj, Sqd10Inj, Sqd11Inj, Sqd12Inj, Sqd13Inj, Sqd14Inj, Sqd15Inj, Sqd16Inj, Sqd17Inj, Sqd18Inj, Sqd19Inj, Sqd20Inj, Sqd21Inj, Sqd22Inj, Sqd23Inj, Sqd24Inj, Sqd25Inj, Sqd26Inj, Sqd27Inj, Sqd28Inj, Sqd29Inj, Sqd30Inj
23,-968420671,26,65,0,No,No,Yes,20610, 3, 1, 3, 1, 7, 16, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 1, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24,1367654880,6,67,0,No,No,Yes,31346, 5, 1, 0, 1, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25,1813143405,35,68,0,No,No,Yes,21509, 5, 1, 2, 1, 7, 16, 1, 0, 0, 0, 6, 7, 4, 0, 1, 0, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 1, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26,-1438859241,20,67,0,No,No,Yes,23719, 5, 1, 3, 1, 1, 16, 2, 0, 0, 0, 5, 2, 1, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27,1401089085,36,66,0,No,No,Yes,14257, 6, 1, 3, 1, 7, 14, 0, 0, 0, 1, 4, 7, 1, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 1, 1, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28,838300886,24,66,0,No,No,Yes,23382, 6, 1, 1, 1, 7, 16, 0, 0, 0, 1, 0, 6, 0, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 6, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29,1622580998,26,64,0,No,No,Yes,12624, 2, 1, 3, 1, 1, 16, 0, 0, 0, 0, 4, 0, 3, 1, 0, 0, 11, 16, 3, 1, 2, 0, 4, 0, 4, 4, 1, 0, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30,1916137758,23,67,0,No,No,Yes,16997, 5, 1, 2, 1, 7, 16, 2, 0, 0, 0, 0, 1, 3, 0, 1, 0, 11, 16, 3, 1, 1, 2, 4, 0, 3, 4, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31,1014912494,22,68,0,No,No,Yes,24908, 5, 1, 1, 1, 7, 16, 1, 0, 0, 1, 0, 7, 0, 0, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 3, 4, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32,1771592904,33,66,0,No,No,Yes,23049, 4, 1, 2, 0, 4, 16, 2, 0, 0, 1, 2, 3, 6, 0, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 2, 4, 0, 1, 5, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33,-438225217,20,62,0,No,No,Yes,29704, 6, 1, 3, 0, 0, 16, 2, 0, 0, 0, 2, 2, 2, 0, 0, 0, 7, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34,-16670948,22,69,0,No,No,No,11267, 5, 1, 2, 1, 0, 16, 0, 0, 0, 1, 0, 6, 0, 1, 1, 1, 11, 16, 3, 1, 2, 2, 4, 0, 4, 4, 1, 0, 7, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35,-2013212675,30,66,0,No,No,Yes,27454, 6, 1, 0, 1, 7, 16, 1, 0, 0, 0, 7, 3, 4, 1, 0, 0, 11, 16, 3, 1, 2, 2, 4, 0, 0, 4, 0, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# MultiRun Finished,4/13/2013,9:24:53 AM
, , BlueCas, RedCas, NeutralCas, BlueGoal, RedGoal, SquadGoal, Steps, RealTime, 
Means, , 24.542857, 64.314286, 0.000000, 0.000000, 0.000000, 0.885714, 21912.057143, 21912.057143, 
Std Errors, , 1.581587, 1.115793, 0.000000, 0.000000, 0.000000, 0.054564, 1175.877549, 1175.877549, 
# Output Ends
